id;date;token;currency;amount;description;capture;receipt
1;2019-10-20T16:17:55;Directives application Home Loan Account;Dam;9997;Trace;false;../fake-data/blob/hipster.txt
2;2019-10-20T10:51:39;alarm;Tasty Metal Bacon;93855;Electronics;true;../fake-data/blob/hipster.txt
3;2019-10-20T20:53:09;methodology Albania;Home Namibia;39986;Gorgeous Frozen Pants;false;../fake-data/blob/hipster.txt
4;2019-10-20T14:20:31;bluetooth;syndicate;98323;Canyon HDD;true;../fake-data/blob/hipster.txt
5;2019-10-20T21:11:42;Small Frozen Sausages Planner;envisioneer Music Public-key;24102;Bahamian Dollar Investment Account;true;../fake-data/blob/hipster.txt
6;2019-10-21T00:27:44;Regional;Tuna;75536;convergence;false;../fake-data/blob/hipster.txt
7;2019-10-20T12:10:00;Chair Facilitator;Views e-enable Communications;72727;archive Georgia Aruba;true;../fake-data/blob/hipster.txt
8;2019-10-20T17:28:47;scale interactive generating;Specialist Home Loan Account;27599;scalable;false;../fake-data/blob/hipster.txt
9;2019-10-20T23:29:54;Administrator;reinvent 24 hour Jewelery;19884;monitor 1080p Checking Account;true;../fake-data/blob/hipster.txt
10;2019-10-20T16:41:04;Frozen IB;Highway Ergonomic;37081;Lempira;true;../fake-data/blob/hipster.txt
